,address_raw,address_clean,latitude,longitude,working_hours,geocoding_quality
344,ул. Академика Киренского  56А,"Красноярск, улица Академика Киренского, 56А",56.0017177,92.8015471,9:00-20:00,"56А, улица Академика Киренского, Октябрьский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660100, Россия"
345,ул. Ленина  54,"Красноярск, улица Ленина, 54",56.0143542,92.8776716,9:00-20:00,"54, улица Ленина, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660049, Россия"
346,ул. Энергетиков  26,"Красноярск, улица Энергетиков, 26",56.004192,93.0282511,9:00-20:00,"26, улица Энергетиков, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660013, Россия"
347,Рейдовая ул.  45/1,"Красноярск, Рейдовая улица, 45/1",56.0441015,93.020769,9:00-20:00,"45/1, Рейдовая улица, Фестивальный, Ленинский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
348,ул. Водопьянова  19,"Красноярск, улица Водопьянова, 19",56.0562412,92.9148096,9:00-20:00,"19, улица Водопьянова, Северный, 7-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
349,ул. 9 Мая  42А,"Красноярск, улица 9 Мая, 42А",56.0622193,92.9170658,9:00-20:00,"42А, улица 9 Мая, Северный, Северный, 2-й микрорайон, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
350,ул. Красной Армии  9/11,"Красноярск, улица Красной Армии, 9/11",56.0132254,92.8494491,9:00-20:00,"9/11, улица Красной Армии, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
351,Проспект Металлургов  д. 53,"Красноярск, Проспект Металлургов, 53",56.0465751,92.9496736,9:00-20:00,"53, проспект Металлургов, Советский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660133, Россия"
352,Ярыгинская Набережная  17,"Красноярск, Ярыгинская Набережная, 17",55.9888319,92.8588792,9:00-20:00,"17, Ярыгинская набережная, ЖК «Белые росы», Свердловский район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660000, Россия"
353,ул. Чернышевского  118,"Красноярск, улица Чернышевского, 118",56.0403902,92.8741494,9:00-20:00,"118, улица Чернышевского, жилой район Покровский, Покровский, 3-ий микрорайон, Покровка, Центральный район, Красноярск, городской округ Красноярск, Красноярский край, Сибирский федеральный округ, 660043, Россия"
